Cosmos,ATOM/USDT,https://coinmarketcap.com/currencies/cosmos/,38.61
Fantom,FTM/USDT,https://coinmarketcap.com/currencies/fantom/,2.62
Ethereum,ETH/USDT,https://coinmarketcap.com/currencies/ethereum/,3214.89
Chainlink,LINK/USDT,https://coinmarketcap.com/currencies/chainlink/,25.78
OKB,OKB/USDT,https://coinmarketcap.com/currencies/okb/,25.51
Terra,LUNA/USDT,https://coinmarketcap.com/currencies/terra-luna/,70.29
Bitcoin,BTC/USDT,https://coinmarketcap.com/currencies/bitcoin/,41821.05
APENFT,NFT/USDT,https://coinmarketcap.com/currencies/apenft/,0.000002926
TRON,TRX/USDT,https://coinmarketcap.com/currencies/tron/,0.06823
Solana,SOL/USDT,https://coinmarketcap.com/currencies/solana/,145.84
WINkLink,WIN/USDT,https://coinmarketcap.com/currencies/wink/,0.0003945
Polkadot,DOT/USDT,https://coinmarketcap.com/currencies/polkadot-new/,25.20
JUST,JST/USDT,https://coinmarketcap.com/currencies/just/,0.05053
Sun (New),SUN/USDT,https://coinmarketcap.com/currencies/sun-token/,0.01979
Polygon,MATIC/USDT,https://coinmarketcap.com/currencies/polygon/,2.12
NEAR Protocol,NEAR/USDT,https://coinmarketcap.com/currencies/near-protocol/,15.25
Bitcoin,BTC/USDK,https://coinmarketcap.com/currencies/bitcoin/,41789.73
Avalanche,AVAX/USDT,https://coinmarketcap.com/currencies/avalanche/,87.06
Curve DAO Token,CRV/USDT,https://coinmarketcap.com/currencies/curve-dao-token/,5.10
Dogecoin,DOGE/USDT,https://coinmarketcap.com/currencies/dogecoin/,0.1562
BitTorrent,BTT/USDT,https://coinmarketcap.com/currencies/bittorrent/,0.002582
Gala,GALA/USDT,https://coinmarketcap.com/currencies/gala/,0.3495
Internet Computer,ICP/USDT,https://coinmarketcap.com/currencies/internet-computer/,32.91
Bitcoin Cash,BCH/USDT,https://coinmarketcap.com/currencies/bitcoin-cash/,390.82
Cardano,ADA/USDT,https://coinmarketcap.com/currencies/cardano/,1.24
Filecoin,FIL/USDT,https://coinmarketcap.com/currencies/filecoin/,31.53
XRP,XRP/USDT,https://coinmarketcap.com/currencies/xrp/,0.7664
Algorand,ALGO/USDT,https://coinmarketcap.com/currencies/algorand/,1.44
SushiSwap,SUSHI/USDT,https://coinmarketcap.com/currencies/sushiswap/,7.08
The Sandbox,SAND/USDT,https://coinmarketcap.com/currencies/the-sandbox/,4.93
yearn.finance,YFI/USDT,https://coinmarketcap.com/currencies/yearn-finance/,34939.38
ConstitutionDAO,PEOPLE/USDT,https://coinmarketcap.com/currencies/constitutiondao/,0.09975
Terra,LUNA/BTC,https://coinmarketcap.com/currencies/terra-luna/,70.34
Shiba Inu,SHIB/USDT,https://coinmarketcap.com/currencies/shiba-inu/,0.00002938
Aave,AAVE/USDT,https://coinmarketcap.com/currencies/aave/,224.08
Zcash,ZEC/USDT,https://coinmarketcap.com/currencies/zcash/,152.77
OpenDAO,SOS/USDT,https://coinmarketcap.com/currencies/opendao/,0.000004562
Axie Infinity,AXS/USDT,https://coinmarketcap.com/currencies/axie-infinity/,74.78
Cosmos,ATOM/BTC,https://coinmarketcap.com/currencies/cosmos/,38.68
Kyber Network Crystal v2,KNC/USDT,https://coinmarketcap.com/currencies/kyber-network-crystal-v2/,1.58
Elrond,EGLD/USDT,https://coinmarketcap.com/currencies/elrond-egld/,199.03
Theta Network,THETA/USDT,https://coinmarketcap.com/currencies/theta-network/,4.27
Solana,SOL/BTC,https://coinmarketcap.com/currencies/solana/,145.97
